,address,street_name,street_type,street_quad,house_number,address_type,longitude,latitude,location,point,:@computed_region_4a3i_ccfj,:@computed_region_4b54_tmc4,:@computed_region_kxmf_bzkv,:@computed_region_hq2j_w7j9,:@computed_region_p8tp_5dkv,house_alpha
0,5532 DALWOOD WY NW,DALWOOD,WY,NW,5532,Parcel,-114.16274336722893,51.114108633701804,"{'latitude': '51.114108633701804', 'longitude': '-114.16274336722893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.16274336722893, 51.114108633701804]}",2,7,38,260,4,
1,321 MAGNOLIA HE SE,MAGNOLIA,HE,SE,321,Parcel,-113.91484799318039,50.891335034304355,"{'latitude': '50.891335034304355', 'longitude': '-113.91484799318039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.91484799318039, 50.891335034304355]}",3,4,116,258,8,
2,165 CRANFIELD GR SE,CRANFIELD,GR,SE,165,Parcel,-113.98117686841111,50.88836183031347,"{'latitude': '50.88836183031347', 'longitude': '-113.98117686841111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.98117686841111, 50.88836183031347]}",3,4,294,82,8,
3,2 SAGE VALLEY ME NW,SAGE VALLEY,ME,NW,2,Parcel,-114.15043875308373,51.178208654570426,"{'latitude': '51.178208654570426', 'longitude': '-114.15043875308373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.15043875308373, 51.178208654570426]}",2,3,265,169,10,
4,714 12 ST SE,12,ST,SE,714,Parcel,-114.03128504301664,51.0419284690263,"{'latitude': '51.0419284690263', 'longitude': '-114.03128504301664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.03128504301664, 51.0419284690263]}",3,10,54,54,11,
5,103 DEERMONT WY SE,DEERMONT,WY,SE,103,Parcel,-114.0189778287356,50.92806426764464,"{'latitude': '50.92806426764464', 'longitude': '-114.0189778287356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.0189778287356, 50.92806426764464]}",3,6,151,255,13,
6,56 TEMPLEGREEN RD NE,TEMPLEGREEN,RD,NE,56,Parcel,-113.9410012253191,51.08688066663724,"{'latitude': '51.08688066663724', 'longitude': '-113.9410012253191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.9410012253191, 51.08688066663724]}",4,9,22,237,3,
7,294 MAHOGANY PL SE,MAHOGANY,PL,SE,294,Parcel,-113.92868579137446,50.9005500311767,"{'latitude': '50.9005500311767', 'longitude': '-113.92868579137446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.92868579137446, 50.9005500311767]}",3,4,116,258,8,
8,59 SANDPIPER WY NW,SANDPIPER,WY,NW,59,Parcel,-114.09578716715303,51.1392207119003,"{'latitude': '51.1392207119003', 'longitude': '-114.09578716715303', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.09578716715303, 51.1392207119003]}",2,2,270,121,4,
9,1925 10A ST SW,10A,ST,SW,1925,Parcel,-114.08873594641551,51.035155430531184,"{'latitude': '51.035155430531184', 'longitude': '-114.08873594641551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.08873594641551, 51.035155430531184]}",1,14,271,185,2,
10,10463 CITYSCAPE DR NE,CITYSCAPE,DR,NE,10463,Parcel,-113.9660584026998,51.146261687313476,"{'latitude': '51.146261687313476', 'longitude': '-113.9660584026998', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.9660584026998, 51.146261687313476]}",4,11,176,99,1,
11,959 EVANSTON DR NW,EVANSTON,DR,NW,959,Parcel,-114.11402674129936,51.179845449038744,"{'latitude': '51.179845449038744', 'longitude': '-114.11402674129936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.11402674129936, 51.179845449038744]}",2,3,237,92,10,
12,89 SUN CANYON WY SE,SUN CANYON,WY,SE,89,Parcel,-114.0296071766012,50.90500125451304,"{'latitude': '50.90500125451304', 'longitude': '-114.0296071766012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.0296071766012, 50.90500125451304]}",3,6,52,128,13,
13,100 EDGELAND CR NW,EDGELAND,CR,NW,100,Parcel,-114.15827724681446,51.128784810489705,"{'latitude': '51.128784810489705', 'longitude': '-114.15827724681446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.15827724681446, 51.128784810489705]}",2,2,272,59,4,
14,159 SCENIC HILL CL NW,SCENIC HILL,CL,NW,159,Parcel,-114.22141925967244,51.11723249644127,"{'latitude': '51.11723249644127', 'longitude': '-114.22141925967244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.22141925967244, 51.11723249644127]}",2,13,148,48,9,
15,508 SAGE MEADOWS GD NW,SAGE MEADOWS,GD,NW,508,Parcel,-114.13231123213284,51.17468868228267,"{'latitude': '51.17468868228267', 'longitude': '-114.13231123213284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.13231123213284, 51.17468868228267]}",2,3,265,169,10,
16,29 COVILLE GD NE,COVILLE,GD,NE,29,Parcel,-114.0417228948942,51.173084994023235,"{'latitude': '51.173084994023235', 'longitude': '-114.0417228948942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.0417228948942, 51.173084994023235]}",4,11,251,8,12,
17,27 COVENTRY VW NE,COVENTRY,VW,NE,27,Parcel,-114.05330431717397,51.16244674819156,"{'latitude': '51.16244674819156', 'longitude': '-114.05330431717397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.05330431717397, 51.16244674819156]}",4,11,251,8,12,
18,182 AUBURN CREST GR SE,AUBURN CREST,GR,SE,182,Parcel,-113.94592754200691,50.88553705199042,"{'latitude': '50.88553705199042', 'longitude': '-113.94592754200691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.94592754200691, 50.88553705199042]}",3,4,95,217,8,
19,6415 DALTON DR NW,DALTON,DR,NW,6415,Parcel,-114.14786945199036,51.110263635416985,"{'latitude': '51.110263635416985', 'longitude': '-114.14786945199036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.14786945199036, 51.110263635416985]}",2,7,38,260,4,
20,3827 PARKHILL ST SW,PARKHILL,ST,SW,3827,Parcel,-114.06446370321181,51.02081214811499,"{'latitude': '51.02081214811499', 'longitude': '-114.06446370321181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.06446370321181, 51.02081214811499]}",1,10,60,276,5,
21,205 AUTUMN CI SE,AUTUMN,CI,SE,205,Parcel,-113.96762344857456,50.89823442768812,"{'latitude': '50.89823442768812', 'longitude': '-113.96762344857456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.96762344857456, 50.89823442768812]}",3,4,95,217,8,
22,9260 OAKMOUNT DR SW,OAKMOUNT,DR,SW,9260,Parcel,-114.13996073670947,50.97244912451498,"{'latitude': '50.97244912451498', 'longitude': '-114.13996073670947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.13996073670947, 50.97244912451498]}",1,8,217,155,5,
23,21 ASPEN RIDGE GA SW,ASPEN RIDGE,GA,SW,21,Parcel,-114.19538570533985,51.042052517338156,"{'latitude': '51.042052517338156', 'longitude': '-114.19538570533985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.19538570533985, 51.042052517338156]}",1,1,48,284,14,
24,#3 347 TUSCANY ESTATES RI NW,TUSCANY ESTATES,RI,NW,347,Parcel,-114.256214098699,51.110229776075656,"{'latitude': '51.110229776075656', 'longitude': '-114.256214098699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.256214098699, 51.110229776075656]}",2,13,158,107,9,
25,25 ARBOUR CREST WY NW,ARBOUR CREST,WY,NW,25,Parcel,-114.20394476473425,51.13694233422519,"{'latitude': '51.13694233422519', 'longitude': '-114.20394476473425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.20394476473425, 51.13694233422519]}",2,3,244,173,10,
26,912 18 ST NE,18,ST,NE,912,Parcel,-114.01595385326206,51.060023646437934,"{'latitude': '51.060023646437934', 'longitude': '-114.01595385326206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-114.01595385326206, 51.060023646437934]}",4,12,140,249,3,
